CPU,Memory,Committed VM,Free Physical Mem,Load Avg,Total Swap,Free swap,used swap,No of Read,Read Bytes,No of Writes,Write Bytes,Total disk space,Used disk space,Free disk space,File count,Total thread count,Daemon thread count,Peak thread count,Running thread count,Rx-bytes,RX-dropped,Rx-error,Rx-frames,Rx-overruns,Rx-packets,Speed,TX-Bytes,TX-Carrier,TX-Collisions,TX-Dropped,TX-Errors,TX-Overruns,TX-Packets
13,82,5444,1345,2.17,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,12386094,0,0,0,0,11546,-1,1382984,0,0,0,0,0,8025
38,83,5444,1339,2.24,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,12554954,0,0,0,0,11695,-1,1393550,0,0,0,0,0,8111
18,83,5444,1326,2.06,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,12677590,0,0,0,0,11786,-1,1399128,0,0,0,0,0,8167
20,83,5444,1309,2.22,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,12828806,0,0,0,0,11920,-1,1407900,0,0,0,0,0,8240
28,83,5444,1284,2.36,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,12984492,0,0,0,0,12110,-1,1435187,0,0,0,0,0,8386
24,83,5444,1303,2.65,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,13128158,0,0,0,0,12264,-1,1448895,0,0,0,0,0,8475
19,83,5444,1301,2.52,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,13188612,0,0,0,0,12322,-1,1453987,0,0,0,0,0,8516
38,83,5444,1283,2.72,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,13263950,0,0,0,0,12532,-1,1499224,0,0,0,0,0,8783
38,84,5444,1225,2.82,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,13600457,0,0,0,0,12888,-1,1537704,0,0,0,0,0,9075
40,84,5444,1250,3,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,13821798,0,0,0,0,13185,-1,1594688,0,0,0,0,0,9401
40,84,5444,1201,3,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,14005862,0,0,0,0,13408,-1,1619532,0,0,0,0,0,9560
28,84,5444,1209,2.84,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,14161068,0,0,0,0,13582,-1,1642020,0,0,0,0,0,9681
23,85,5444,1168,2.85,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,14772963,0,0,0,0,14022,-1,1667434,0,0,0,0,0,9883
15,85,5444,1163,2.7,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,14997918,0,0,0,0,14209,-1,1706273,0,0,0,0,0,9985
19,85,5444,1152,2.56,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,15174605,0,0,0,0,14351,-1,1715179,0,0,0,0,0,10064
41,85,5444,1170,2.52,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,15295082,0,0,0,0,14468,-1,1729864,0,0,0,0,0,10133
27,85,5444,1182,2.4,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,15452837,0,0,0,0,14603,-1,1737651,0,0,0,0,0,10210
22,84,5444,1206,2.69,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,15556743,0,0,0,0,14709,-1,1756338,0,0,0,0,0,10277
30,84,5444,1205,2.47,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,15603035,0,0,0,0,14790,-1,1765282,0,0,0,0,0,10337
23,85,5444,1186,2.43,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,15800238,0,0,0,0,14946,-1,1779951,0,0,0,0,0,10435
41,85,5444,1162,2.4,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,17143806,0,0,0,0,15992,-1,1850830,0,0,0,0,0,10916
